Mobile Name,Price
Model,"
"
Price in Nepal,"
"
Samsung Galaxy J2 Core,"
"
"Rs.10,490","
"
Samsung Galaxy J2 4G ,"
"
"Rs.10,690","
"
Samsung Galaxy J2 ace,"
"
"Rs.13,190","
"
Samsung Galaxy J2 2018,"
"
"Rs.13,190","
"
Samsung Galaxy J4,"
"
"Rs.14,490 (2GB/16GB)
Rs.18,990 (3GB/32GB)","
"
Samsung Galaxy J6,"
"
"Rs.22,190 (3GB/32GB)
Rs.22,690 (4GB/64GB)","
"
Samsung Galaxy J4 Plus,"
"
"Rs.15,990","
"
Samsung Galaxy J6 Plus,"
"
"Rs.21,590 (3GB/32GB)
Rs.23,290 (4GB/64GB)","
"
Samsung Galaxy J7 Duo,"
"
"Rs.22,000","
"
Samsung Galaxy J7 Pro,"
"
"Rs.25,900","
"
Samsung Galaxy J8,"
"
"Rs.27,390","
"
Samsung Galaxy A6,"
"
"Rs.24,490","
"
Samsung Galaxy A6+,"
"
"Rs.30,490","
"
Samsung Galaxy A7 2018,"
"
"Rs.33,990","
"
Samsung Galaxy A9 2018,"
"
"Rs.53,990","
"
Samsung Galaxy S8 plus,"
"
"Rs.79,900","
"
Samsung Galaxy S9+,"
"
"Rs.87,900 (64GB)
Rs.92,900 (128GB)","
"
Samsung Galaxy Note 9,"
"
"Rs.1,09,900 (128GB)","
"
Product Name,"
"
iPhones Price in Nepal (NRP),"
"
iPhone 8 (64GB),"
"
"Rs.98,500","
"
iPhone 8 (256GB),"
"
"Rs.119,500","
"
iPhone 8 Plus (64GB),"
"
"Rs.112,500","
"
iPhone 8 Plus (256GB),"
"
"Rs.136,000","
"
iPhone X (64GB),"
"
"Rs.146,000","
"
iPhone X (256GB),"
"
"Rs.167,000","
"
iPhone XR 64GB,"
"
"Rs.119,500","
"
iPhone XR 128GB,"
"
"Rs.129,500","
"
iPhone XR 256GB,"
"
"Rs.145,800","
"
iPhone Xs 64GB,"
"
"Rs.162,000","
"
iPhone Xs 256GB,"
"
"Rs.186,000","
"
iPhone Xs 512GB,"
"
"Rs.218,000","
"
iPhone Xs Max 64GB,"
"
"Rs.178,000","
"
iPhone Xs Max 256GB,"
"
"Rs.202,000","
"
iPhone Xs Max 512GB,"
"
"Rs.234,000","
"
Model,"
"
Maximum Retail Price (MRP),"
"
Huawei Y3 2018,"
"
"Rs.11,400","
"
Huawei Y5 Lite,"
"
"Rs.11,990","
"
Huawei Y5 Prime 2018  ,"
"
"Rs.14,900","
"
Huawei Y6 Prime 2018 ,"
"
"Rs.17,900","
"
Huawei Nova 2 Lite,"
"
"Rs.21,990","
"
Huawei Y9 2019,"
"
"Rs.31,490","
"
Huawei Nova 3i,"
"
"Rs.35,990","
"
Huawei Nova 3,"
"
"Rs.59,900","
"
Huawei P20 Pro,"
"
"Rs.99,900","
"
Huawei Mate 20 Pro,"
"
"Rs.129,900","
"
Model,"
"
Maximum Retail Price (MRP),"
"
Honor 7S,"
"
"Rs.15,490","
"
Honor 7A,"
"
"Rs.18,490","
"
Honor 8X,"
"
"Rs.32,490 (64GB)
Rs.36,490 (128GB)","
"
Honor Play,"
"
"Rs.42,490","
"
Model,"
"
Price in Nepal (in MRP),"
"
OPPO R17 Pro,"
"
"Rs. 89,990","
"
OPPO F9 (4GB),"
"
"Rs. 41,590","
"
OPPO F9 (6GB),"
"
"Rs. 45,590","
"
OPPO A7,"
"
"Rs. 32,990","
"
OPPO A3s (2/16GB),"
"
"Rs. 18,490","
"
OPPO A3s (3/32GB),"
"
"Rs. 24,590","
"
Model,"
"
Price in Nepal,"
"
Realme C1,"
"
"Rs.15,499","
"
Realme 2 Pro,"
"
"Rs.30,499","
"
Model,"
"
Maximum Retail Price (MRP),"
"
One Plus 5 (6GB/64GB),"
"
"Rs. 52,500","
"
One Plus 5 (8GB/128GB),"
"
"Rs. 58,500","
"
One Plus 5T (6GB/64GB),"
"
"Rs. 57,500
Rs. 47,499 (Daraz)","
"
One Plus 5T (8GB/128GB),"
"
"Rs. 72,900","
"
One Plus 6 (6GB/64GB),"
"
"Rs. 65,500","
"
One Plus 6 (8GB/128GB),"
"
"Rs. 74,500","
"
One Plus 6 (8GB/256GB),"
"
"Rs. 84,500","
"
One Plus 6T (6GB/128GB),"
"
"Rs. 69,999 (Daraz)
Rs. 76,000","
"
One Plus 6T (8GB/128GB),"
"
"Rs. 80,000","
"
One Plus 6T (8GB/256GB),"
"
N/A,"
"
"One Plus 6T (10GB/256GB)
McLaren Edition","
"
"Rs. 99,000","
"
Model,"
"
Maximum Retail Price (MRP),"
"
Vivo Y53,"
"
"Rs. 14,690","
"
Vivo Y71,"
"
"Rs. 17,890","
"
Vivo Y81i,"
"
"Rs. 18,990","
"
Vivo Y91i,"
"
"Rs. 20,990","
"
Vivo Y81,"
"
"Rs. 22,090","
"
Vivo Y91,"
"
"Rs. 26,290","
"
Vivo Y85,"
"
"Rs. 29,990","
"
Vivo V9 Youth,"
"
"Rs. 28,340","
"
Vivo Y95,"
"
"Rs. 31,490","
"
Vivo V9,"
"
"Rs. 34,640","
"
Vivo V11,"
"
"Rs. 37,790","
"
Vivo V11 Pro,"
"
"Rs. 49,490","
"
Model,"
"
Price,"
"
Xiaomi Redmi 5A,"
"
"Rs.12,999","
"
Xiaomi Redmi 6A,"
"
"Rs.11,999","
"
Xiaomi Redmi Note 5A,"
"
"Rs.14,999","
"
Xiaomi Redmi 6 (3/32GB),"
"
"Rs.15,499","
"
Xiaomi Redmi 6 (3/64GB),"
"
"Rs.18,499","
"
Xiaomi Redmi 5 (2/16GB),"
"
"Rs.15,499","
"
Xiaomi Redmi 5 (3/32GB),"
"
"Rs.17,499","
"
Xiaomi Redmi 4X (3GB/32GB),"
"
"Rs.14,499","
"
Xiaomi Redmi Note 5A Prime,"
"
"Rs.17,499","
"
Xiaomi Redmi 5 Plus (3/32GB),"
"
"Rs.19,499","
"
Xiaomi Redmi 5 Plus (4/64GB),"
"
"Rs.23,499","
"
Xiaomi MI A2 Lite (3/32GB),"
"
"Rs.19,999","
"
Xiaomi MI A2 Lite (4/64GB),"
"
"Rs.24,499","
"
Xiaomi Redmi S2 (3/32GB),"
"
"Rs.19,499","
"
Xiaomi Redmi S2 (4/64GB),"
"
"Rs.23,499","
"
Xiaomi Redmi Note 5 AI (3/32GB),"
"
"Rs.21,999","
"
Xiaomi Redmi Note 5 AI (4/64GB),"
"
"Rs.26,499","
"
Xiaomi Redmi Note 6 Pro (3/32GB),"
"
"Rs.24,999","
"
Xiaomi Redmi Note 6 Pro (4/64GB),"
"
"Rs.28,999","
"
Xiaomi MI A2 (4/64GB),"
"
"Rs.30,999","
"
Xiaomi MI 8 Lite (4/64GB),"
"
"Rs.31,999","
"
Device,"
"
Price in Nepal (in MRP),"
"
Nokia 105SS (2017) (Single SIM),"
"
"Rs. 1,970","
"
Nokia 105DS (2017) (Dual SIM),"
"
"Rs. 2,075","
"
Nokia 130 (2017),"
"
"Rs. 2,900","
"
Nokia 150 (2017),"
"
"Rs. 3,780","
"
Nokia 216,"
"
"Rs. 4,485","
"
Nokia 3310 (2017),"
"
"Rs. 6,155","
"
Nokia 230,"
"
"Rs. 6,315","
"
Nokia 1,"
"
"Rs. 8,575","
"
Nokia 2,"
"
"Rs. 10,999","
"
Nokia 2.1,"
"
"Rs. 12,430","
"
Nokia 3,"
"
"Rs. 13,999","
"
Nokia 5,"
"
"Rs. 16,499","
"
Nokia 6,"
"
"Rs. 19,999","
"
Nokia 3.1,"
"
"Rs. 22,350","
"
Nokia 3.1 Plus,"
"
"Rs. 23,999","
"
Nokia 6 2018 AKA Nokia 6.1,"
"
"Rs. 27,499 (3/32GB) Rs. 34,499 (4/64GB)","
"
Nokia X6 2018 Nokia 6.1 Plus,"
"
"Rs. 37,625","
"
Model,"
"
Price in Nepal,"
"
Lenovo K5 Play,"
"
"Rs.17,999","
"
Lenovo S5,"
"
"Rs.23,999","
"
Model,"
"
Price in Nepal,"
"
Lava Iris 30,"
"
"Rs. 5,299","
"
Lava Iris 41,"
"
"Rs. 7,499","
"
Lava Iris 50 (1GB/8GB),"
"
"Rs. 8,799","
"
Lava Iris 50 (2GB/16GB),"
"
"Rs. 9,999","
"
Lava Iris 65,"
"
"Rs. 9,699","
"
Lava Iris 88,"
"
"Rs. 12,999","
"
Lava R3,"
"
"Rs. 17,999","
"
Lava R3 Note,"
"
"Rs. 17,999","
"
Lava R5,"
"
"Rs. 22,999","
"
Sony Xperia Models,"
"
Price in Nepal,"
"
Sony Xperia XZ Premium,"
"
"Rs. 80,500","
"
Sony Xperia XZs,"
"
"Rs. 55,000","
"
Sony Xperia XZ,"
"
"Rs. 52,500","
"
Sony Xperia XA2 Ultra,"
"
"Rs. 40,000","
"
Sony Xperia XA1 Ultra,"
"
"Rs. 40,500","
"
Sony Xperia XA2,"
"
"Rs. 31,500","
"
Sony Xperia X,"
"
"Rs. 18,500","
"
Sony Xperia XA1,"
"
"Rs. 14,000","
"
Sony Xperia XA Ultra,"
"
"Rs. 14,500","
"
Sony Xperia L2,"
"
"Rs. 14,500","
"
Sony Xperia L1,"
"
"Rs. 12,000","
"
Sony Xperia XA,"
"
"Rs. 17,000","
"
Model,"
"
Price (MRP),"
"
Colors Pride P20,"
"
" Rs. 4,345","
"
Colors Pride P45,"
"
" Rs. 6,790","
"
Colors Pride P50 Plus,"
"
" Rs. 7,980","
"
Colors Pride P65,"
"
" Rs. 7,995","
"
Colors Pride 5C  ,"
"
" Rs. 7,595","
"
Colors Pride 5E  ,"
"
" Rs. 8,995","
"
Colors Pride P70U,"
"
" Rs. 9,995","
"
Colors S1,"
"
" Rs. 9,995","
"
Colors S9,"
"
" Rs. 12,500","
"
Colors Pride 5X,"
"
" Rs. 11,999","
"
Nubia Smartphone Model,"
"
Price,"
"
Nubia Z17 mini,"
"
"Rs. 23,000","
"
Nubia V18,"
"
"Rs. 25,000","
"
Nubia Z17 Lite,"
"
"Rs. 26,500","
"
Nubia Z17 miniS,"
"
"Rs. 28,000","
"
Models,"
"
Price (NRs.),"
"
TECNO i7,"
"
"Rs. 28,488","
"
TECNO Camon i2,"
"
"Rs. 22,995","
"
TECNO Camon i,"
"
"Rs. 18,250","
"
TECNO Camon CX Air,"
"
"Rs. 17,760","
"
TECNO Spark Pro,"
"
"Rs.17,010","
"
TECNO Camon i Air,"
"
"Rs. 16,500","
"
TECNO WX4,"
"
"Rs. 11,815","
"
TECNO POP 1,"
"
"Rs.10,905","
"
TECNO WX3,"
"
"Rs. 8,980","
"
TECNO F2,"
"
"Rs. 8,060","
"
